item_id,title,brand,rating,n_rating,price,shipping,img_url,max_rslt,dp,hdmi,dirx,model
9SIABT1JCC9133,MSI Gaming (MSI) GeForce RTX 4090 24GB GDDR6X PCI Express 4.0 Video Card RTX 4090 GAMING X TRIO 24G,GIGABYTE,4.6,14,2139.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-137-761-34.png,7680 x 4320,3 x DisplayPort 1.4a,1 x HDMI 2.1,DirectX 12,RTX
14-932-468,GIGABYTE Gaming OC GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 ATX Video Card GV-N306TGAMING OC-8GD REV 2.0 (LHR),Peladn,4.8,54,459.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-932-468-V01.jpg,7680 x 4320,2 x DisplayPort 1.4a,2 x HDMI 2.1,,GV-N306TGAMING
9SIBF3CJ558974,Peladn Gaming RTX 3060TI 8G Graphics Card GDDR6 PCI Express 4.0 Video Card Double-fan Edition,MSI,5,2,389.0,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/BF3CS22082404MUXH8E.jpg,,,,DirectX 12,6972410022696
14-137-733,MSI Gaming Radeon RX 6950 XT 16GB GDDR6 PCI Express 4.0 Video Card RX 6950 XT GAMING X TRIO 16G,GIGABYTE,4.4,39,999.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-137-733-V01.jpg,7680 x 4320,3 x DisplayPort 1.4a,1 x HDMI 2.1,,RX
9SIASGMJPZ0150,GIGABYTE Gaming OC GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 ATX Video Card GV-N3070GAMING OC-8GD (rev. 2.0) (LHR),,4.8,132,689.99,Special Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-932-449-01.jpg,7680 x 4320,2 x DisplayPort 1.4a,2 x HDMI 2.1,,GV-N3070GAMING
14-932-579,GIGABYTE WINDFORCE OC GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 x16 ATX Video Card GV-N3060WF2OC-12GD,GIGABYTE,,,389.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-932-579-05.jpg,7680 x 4320,2 x DisplayPort 1.4a,2 x HDMI 2.1,,GV-N3060WF2OC-12GD
27N-0002-00172,XFX Speedster MERC 319 AMD RX 6950 XT Black Gaming Graphics Card with 16GB GDDR6 RX-695XATBD9,XFX,4.5,10,829.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/AD2CS2207050VBJ2WF5.jpg,7680 x 4320,3 x DisplayPort 1.4H,1 x HDMI 2.1,,RX-695XATBD9
14-883-002,Intel Arc A750 8GB GDDR6 PCI Express 4.0 x16 Video Card 21P02J00BA,Intel,4.3,20,289.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-883-002-02.jpg,7680 x 4320,3 x DisplayPort 2.0H,1 x HDMI 2.1,,21P02J00BA
9SIBF3CJ4W3816,Peladn Gaming RTX 3060 12G Graphics Card GDDR6 PCI Express 4.0 Video Card Dual-fan Edition,Peladn,5,2,369.0,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/BF3CS2208220ELUFU8E.jpg,,,,DirectX 12,6972410022689
9SIABT1JEC0954,GIGABYTE AORUS GeForce RTX 4090 24GB GDDR6X PCI Express 4.0 ATX Video Card GV-N4090AORUSX W-24GD,GIGABYTE,4.4,18,2494.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-932-556-18.jpg,7680 x 4320,3 x DisplayPort 1.4a,1 x HDMI 2.1,,GV-N4090AORUSX
14-930-072,ASRock Phantom Gaming D Radeon RX 6750 XT 12GB GDDR6 PCI Express 4.0 Video Card RX6750XT PGD 12GO,ASRock,4.5,2,429.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-930-072-01.jpg,7680 x 4320,3 x DisplayPort 1.4H,1 x HDMI 2.1,,RX6750XT
9SIAD2CJRH3855,XFX SPEEDSTER MERC310 Radeon RX 7900 XT 20GB GDDR6 PCI Express 4.0 x16 Video Card RX-79TMERCB9,XFX,5,2,929.99,$4.99 Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-150-877-13.jpg,7680 x 4320,3 x DisplayPort 1.4H,1 x HDMI 2.1,,RX-79TMERCB9
9SIB1PGFBX9975,"EVGA GeForce RTX 3080 Ti FTW3 ULTRA GAMING Video Card, 12G-P5-3967-KR, 12GB GDDR6X, iCX3 Technology, ARGB LED, Metal Backplate",EVGA,4.8,244,1530.0,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-487-547-S01.jpg,,3 x DisplayPort 1.4a,1 x HDMI 2.1,,12G-P5-3967-KR
14-930-076,ASRock Challenger Arc A380 6GB GDDR6 PCI Express 4.0 ITX Video Card A380 CLI 6G OC,ASRock,3.8,42,139.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-930-076-01.jpg,7680 x 4320,3 x DisplayPort 2.0H,1 x HDMI 2.0,,A380
14-150-870,XFX SPEEDSTER SWFT210 Radeon RX 6650 XT 8GB GDDR6 PCI Express 4.0 Video Card RX-665X8DFDY,XFX,4,3,299.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-150-870-V07.jpg,,3 x DisplayPort 1.4H,1 x HDMI 2.1,,RX-665X8DFDY
14-553-001,Acer Predator BiFrost Arc A770 16GB GDDR6 PCI Express 4.0 x16 Video Card Predator BiFrost Intel Arc A770 OC,Acer America,3.8,4,399.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-553-001-06.png,7680 x 4320,3 x DisplayPort 2.0H,1 x HDMI 2.1,,DP.BKCWW.P02
14-500-543,"ZOTAC GAMING GeForce RTX 4080 16GB Trinity OC DLSS 3 16GB GDDR6X 256-bit 22.4 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Advanced Cooling, SPECTRA 2.0 RGB Lighting, ZT-D40810J-10P",ZOTAC,5,1,1299.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-500-543-V01.jpg,7680 x 4320,3 x DisplayPort 1.4a,1 x HDMI 2.1,DirectX 12,ZT-D40810J-10P
14-126-611,"ASUS TUF Gaming NVIDIA GeForce RTX 3070 Ti OC V2 Graphics Card (PCIe 4.0, 8GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Dual ball Fan Bearings, Military-grade Certification, GPU Tweak III)",ASUS,,,649.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-126-611-02.png,7680 x 4320,3 x DisplayPort 1.4a,2 x HDMI 2.1,,TUF-RTX3070TI-O8G-V2-GAMING
9SIAXZZJ0F1008,MAXSUN Nvidia Geforce RTX 3080 Ti iCraft GM OC 12GB GDDR6X Video Graphics Card GPU For Computer Gaming PC HDMI2.1 PCIE 4.0,MAXSUN,,,1099.99,$4.99 Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/AXZZS2203290J2UYIDD.jpg,7680 x 4320,3 x DisplayPort 1.4a,1 x HDMI 2.1,,MS-GEFORCERTX3080TIICRAFTOCGM12G
9SIBGVAJCD3014,BIOSTAR NEW GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 Graphics Card NVIDIA RTX 3080 10GB Gaming Video Card 8Pin GPU Gamer,Biostar,,,699.0,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/BGVAS2211300G9LRBA1.jpg,7680 x 4320,3 x DisplayPort 1.4a,1 x HDMI 2.1,,4712960686649
14-932-557,GIGABYTE AORUS GeForce RTX 4080 16GB GDDR6X PCI Express 4.0 ATX Video Card GV-N4080AORUSX WB-16GD,GIGABYTE,3.8,12,1449.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-932-557-10.jpg,7680 x 4320,3 x DisplayPort 1.4a,1 x HDMI 2.1,,GV-N4080AORUSX
14-932-454,GIGABYTE Vision OC GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 ATX Video Card GV-N306TVISION OC-8GD (rev. 2.0) (LHR),GIGABYTE,4.8,28,459.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-932-454-01.jpg,7680 x 4320,2 x DisplayPort 1.4a,2 x HDMI 2.1,,GV-N306TVISION
14-131-783,"PowerColor Fighter AMD Radeon RX 6700 XT Gaming Graphics Card with 12GB GDDR6 Memory, Powered by AMD RDNA 2, HDMI 2.1 (AXRX 6700XT 12GBD6-3DH)",PowerColor,4.6,5,399.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-131-783-V01.jpg,,3 x DisplayPort 1.4H,1 x HDMI 2.1,,AXRX
14-137-758,MSI GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Video Card RTX 3060 AERO ITX 12G OC,MSI,5,4,369.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-137-758-01.jpg,7680 x 4320,3 x DisplayPort 1.4a,1 x HDMI 2.1,DirectX 12,RTX
14-137-475,MSI Ventus GeForce GTX 1660 SUPER 6GB GDDR6 PCI Express 3.0 x16 Video Card GTX 1660 SUPER VENTUS XS OC,MSI,4.6,353,269.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-137-475-01.jpg,7680 x 4320,3 x DisplayPort 1.4a,1 x HDMI 2.0,,1660SuperVentusXSOC
9SIAYTVFU57363,GIGABYTE Gaming GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 ATX Video Card GV-N307TGAMING OC-8GD,GIGABYTE,4.7,188,712.99,$49.99 Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-932-443-V01.jpg,7680 x 4320,2 x DisplayPort 1.4a,2 x HDMI 2.1,,GV-N307TGAMING
14-932-559,GIGABYTE AORUS GeForce RTX 4080 16GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N4080AORUS M-16GD,GIGABYTE,4.8,4,1369.99,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-932-559-03.jpg,7680 x 4320,3 x DisplayPort 1.4a,1 x HDMI 2.1,DirectX 12,GV-N4080AORUS
9SIAXMKJRK7760,MSI Ventus GeForce RTX 4080 16GB GDDR6X PCI Express 4.0 Video Card RTX 4080 16GB VENTUS 3X OC,MSI,4.5,26,1523.99,$49.99 Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/14-137-765-01.jpg,7680 x 4320,3 x DisplayPort 1.4a,1 x HDMI 2.1,DirectX 12,RTX
9SIBF3CJ3S2631,Peladn Gaming GeForce RTX 2060 6G Graphics Card GDDR6 PCI Express 3.0 Video Card Dual-fan Edition HDMI DP 1.4,Peladn,3,3,239.0,Free Shipping,https://c1.neweggimages.com/ProductImageCompressAll300/BF3CS2208030HSIF33F.jpg,,,,,6972410022467
